Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
A,Morn,1,,,A,Noon,1,,,A,Afternoon,1,,,A,Morn,2,,,A,Noon,2,,,A,Afternoon,2,,,A,Morn,3,,,A,Noon,3,,,A,Afternoon,3,,,A,Morn,4,,,A,Noon,4,,,A,Afternoon,4,,,B,Morn,1,,,B,Noon,1,,,B,Afternoon,1,,,B,Morn,2,,,B,Noon,2,,,B,Afternoon,2,,,B,Morn,3,,,B,Noon,3,,,B,Afternoon,3,,,B,Morn,4,,,B,Noon,4,,,B,Afternoon,4,,,C,Morn,1,,,C,Noon,1,,,C,Afternoon,1,,,C,Morn,2,,,C,Noon,2,,,C,Afternoon,2,,,C,Morn,3,,,C,Noon,3,,,C,Afternoon,3,,,C,Morn,4,,,C,Noon,4,,,C,Afternoon,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for student cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations: The Pav - location A; The Buttery - location B; The Dining Hall -location C;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day: Monday-1; Wednesday-2; Thursday-3; and Friday-4;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for campus gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations: Front gate - location A; Nassau St. gate - location B; Pearse St. gate -location C;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day: Tuesday-1; Wednesday-2; Saturday-3; and Sunday-4;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each shaded zone represents a different dataset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
